date,latitude,longitude,depth,mag,id
20150522,37.309,-114.6519,5.9,3.5,nn00495496
20150522,37.3371,-114.642,7.5,3,nn00495487
20150522,37.3138,-114.639,9.6,3.8,nn00495573
20150522,37.2925,-114.6546,4,5.3,nn00495477
20150522,36.6184,-98.4082,2.412,3.5,us10002bcm
20150522,35.6871667,-121.1163333,4.295,3.16,nc72453391
20150522,36.5145,-99.0189,5.876,3,us10002bbi
20150522,32.3763333,-115.238,23.15,3.38,ci37385088
20150522,32.362,-115.2423333,25.65,3.26,ci37385072
20150522,38.4316667,-122.2503333,12.83,4.09,nc72453246
20150523,37.4294,-98.9535,5,4,us10002bup
20150523,33.989,-118.3536667,10.48,3.09,ci37385936
20150523,37.4447,-98.9522,5,3.3,us10002bu6
20150523,36.8495,-97.6975,7.128,3.2,us10002bta
20150523,37.45,-114.1831667,11.07,3.41,uu60111707
20150524,37.142,-97.6502,6.41,3.4,us10002byf
20150524,38.9762,-116.0637,0,3.6,nn00495847
20150525,43.7727,-105.2676,0,3.3,us10002c2c
20150525,35.597,-97.065,5.9,3.2,us10002c0h
20150526,35.9247,-97.3447,5.752,3.1,us10002cca
20150526,36.5212,-99.0078,7.24,3,us10002cjs
20150526,36.2471,-97.5317,6.973,3,us10002c9a
20150526,36.2981,-97.5599,6.915,3,us10002c8g
20150526,36.2963,-97.5555,7.26,3,us10002c7r
20150526,36.2974,-97.5585,7.221,3,us10002c7l
20150526,40.6508333,-124.712,19.72,4.34,nc72455721
20150527,45.8145,-106.5525,0,3.1,us20002md3
20150527,36.3055,-96.6613,5.58,3.1,us10002cp3
20150527,33.9641667,-119.906,16.86,3,ci37388136
20150527,37.3144,-114.6438,7.1,3.1,nn00496267
20150527,37.3604,-114.5958,8.5,3.2,nn00496265
20150527,31.2195,-115.5431667,3.566,3.61,ci37388000
20150527,37.3307,-114.5908,8.9,3.3,nn00496244
20150528,43.7868,-105.2712,0,3.5,us20002k5a
20150528,32.2473333,-115.2816667,10.79,3.45,ci37388864
20150528,32.2323333,-115.2821667,11.81,3.25,ci37388832
20150528,36.1356,-97.2794,5.664,3.5,us20002jz4
20150528,35.7458,-97.3888,5.778,3,us20002jx0
20150530,37.0506,-97.9219,5.19,3.2,us20002kqk
20150530,37.0411,-97.9047,5,3.6,us20002ki2
20150530,33.8766667,-116.1425,7.04,3.7,ci37390168
20150530,38.462,-88.3561667,25.85,3.4,nm60008708
20150531,43.6252,-105.2278,0,3.3,us20002kux
20150531,36.7083,-98.6523,4.869,3.1,us20002l14
20150531,44.0112,-105.1817,0,3,us20002p0p
20150531,38.0755,-112.3968333,3.96,3.17,uu60112622
20150531,33.3135,-116.2816667,12.769,3.59,ci37390968
20150601,35.7859,-96.9874,6.55,3.3,us20002l4i
20150601,35.788,-96.9872,6.269,3.5,us20002l39
20150601,35.7887,-96.9871,6.167,3.5,us20002l2q
20150601,35.9226,-97.3367,5.973,3.1,us20002l1l
20150602,35.7877,-96.9885,5.758,3.7,us20002lg2
20150602,45.0678,-106.9818,0,3.1,us20002pcj
20150602,35.862,-117.6855,2.782,3.46,ci37392440
20150602,36.952,-97.618,7.6,3.6,us20002l6t
20150602,36.9443,-97.6187,5,3,us20002lr3
20150602,36.2674,-98.5366,8.433,3,us20002lfi
20150602,36.2626,-97.3869,7.077,3,us20002lpk
20150602,35.8595,-117.6888333,3.067,3.51,ci37392152
20150602,37.0317,-97.9035,5.35,3,us20002l54
